[00:37:43]	Řõšš has connected.
[00:38:51]	VOZHD W00KI has connected.
[00:38:54]	Řõšš created the character 'Ross Zheiski'
[00:38:54]	Řõšš loaded the character 'Ross Zheiski'
[00:38:56]	Ross Zheiski entered observer.
[00:41:15]	VOZHD W00KI loaded the character 'W00KI'
[00:41:17]	W00KI entered observer.
[00:41:26]	Ross Zheiski exited observer at their location.
[00:41:49]	Ross Zheiski used command '/PlyGiveAllFlags W0'.
[00:41:53]	Ross Zheiski used command '/PlyGiveAllFlags Ross'.
[00:41:59]	Ross Zheiski entered observer.
[00:41:59]	Ross Zheiski destroyed a 'Сумка-трансформер' #4.
[00:41:59]	Ross Zheiski destroyed a 'Тризип' #5.
[00:41:59]	Ross Zheiski destroyed a 'Паратус' #2.
[00:41:59]	Ross Zheiski destroyed a 'Однолямочная сумка' #1.
[00:42:37]	W00KI exited observer at their location.
[00:42:38]	W00KI entered observer.
[00:42:53]	Zandronum has connected.
[00:43:07]	env_headcrabcanister destroyed a 'Паратус' #3.
[00:43:47]	Ross Zheiski has spawned 'models/player/backpack_blackjack/bp_blackjack50_body_lod0.mdl'.
[00:43:55]	Zandronum created the character 'Builder Bob'
[00:43:55]	Zandronum loaded the character 'Builder Bob'
[00:44:48]	Builder Bob entered observer.
[00:45:08]	Builder Bob exited observer.
[00:45:09]	W00KI exited observer at their location.
[00:45:10]	W00KI entered observer.
[00:45:10]	W00KI exited observer at their location.
[00:45:11]	W00KI entered observer.
[00:45:12]	W00KI exited observer at their location.
[00:45:12]	W00KI entered observer.
[00:45:18]	Builder Bob entered observer.
[00:45:31]	Builder Bob used command '/CharGiveFlag Bob EPT'.
[00:45:36]	Builder Bob used command '/CharGiveFlag Bob ept'.
[00:46:17]	Ross Zheiski has spawned 'models/player/backpack_paratus_3_day/bp_paratus_3_day_body_lod0.mdl'.
[00:46:20]	W00KI used command '/PlyGiveAllFlags W00KI'.
[00:46:25]	Ross Zheiski has spawned 'models/player/backpack_pilgrim/bp_piligrimm_body_lod0.mdl'.
[00:46:34]	Ross Zheiski has spawned 'models/player/backpack_baselardwild/bp_load_baselard_body_lod0.mdl'.
[00:46:40]	Ross Zheiski has spawned 'models/player/backpack_blackjack/bp_blackjack50_body_lod0.mdl'.
[00:47:21]	Builder Bob exited observer at their location.
[00:47:22]	Builder Bob entered observer.
[00:47:47]	Builder Bob used command '/CharGiveFlag Bob c'.
[00:47:51]	Builder Bob used command '/CharGiveFlag Bob C'.
[00:47:59]	Ross Zheiski exited observer at their location.
[00:48:00]	W00KI exited observer at their location.
[00:48:02]	Builder Bob used command '/CharGiveFlag Bob r'.
[00:48:03]	Builder Bob has spawned 'models/player/backpack_baselardwild/bp_load_baselard_body_lod0.mdl'.
[00:48:08]	W00KI entered observer.
[00:48:11]	W00KI exited observer at their location.
[00:48:18]	W00KI entered observer.
[00:48:18]	W00KI exited observer at their location.
[00:48:18]	Ross Zheiski entered observer.
[00:48:55]	Builder Bob has spawned 'models/union/citizens/male_g.mdl'.
[00:48:58]	Ross Zheiski destroyed a 'Handheld Radio' #7.
[00:48:58]	Ross Zheiski destroyed a 'Сумка-трансформер' #6.
[00:49:27]	W00KI entered observer.
[00:49:28]	W00KI exited observer at their location.
[00:49:30]	W00KI entered observer.
[00:49:31]	Builder Bob exited observer at their location.
[00:49:36]	Builder Bob entered observer.
[00:50:24]	0 has connected.
[00:50:49]	Builder Bob exited observer at their location.
[00:50:49]	Builder Bob entered observer.
[00:50:50]	Builder Bob exited observer at their location.
[00:50:51]	Builder Bob entered observer.
[00:50:51]	Builder Bob exited observer at their location.
[00:50:52]	Builder Bob entered observer.
[00:50:52]	Builder Bob exited observer at their location.
[00:50:53]	Builder Bob entered observer.
[00:50:53]	Builder Bob exited observer at their location.
[00:50:54]	Builder Bob entered observer.
[00:50:58]	Builder Bob exited observer at their location.
[00:50:58]	Builder Bob entered observer.
[00:50:59]	Builder Bob exited observer at their location.
[00:51:00]	Builder Bob entered observer.
[00:51:00]	Builder Bob exited observer at their location.
[00:51:01]	Builder Bob entered observer.
[00:52:21]	0 created the character 'Егор Егор'
[00:52:21]	0 loaded the character 'Егор Егор'
[00:52:23]	Егор Егор entered observer.
[00:52:30]	Builder Bob exited observer at their location.
[00:52:30]	Builder Bob entered observer.
[00:52:31]	Builder Bob exited observer at their location.
[00:52:32]	Builder Bob entered observer.
[00:52:32]	Builder Bob exited observer at their location.
